index,month,tweets,isRetweet,isDeleted,avg_sentiment_score,sum_sentiment_score,delta_avg,retweets,favorites,word_count,positive,negative,neutral,gspc_change,gspc_up_down
0,2016-12-01,140,11,1,5.7898081699181985,8038.02,0.033724075630136456,1956286,7467975,8174,102,9,28,0.017571441011636515,up
1,2017-01-01,212,5,2,5.604844697936024,12097.929999999998,-0.15123939635204295,3626958,17156762,12673,118,24,70,0.012124894262895486,up
2,2017-02-01,153,1,7,5.55182889388733,8518.979999999998,-0.20425520040073267,2784536,13958598,9001,79,29,44,0.03414864520536025,up
3,2017-03-01,152,13,9,5.694078086286306,8317.0,-0.06200600800175715,2112539,9328782,8605,97,12,42,-0.007314689893332861,down
4,2017-04-01,146,13,6,5.6960056955609994,8166.450000000001,-0.06007839872706513,1631378,7374391,8465,91,13,38,0.00925347840941356,up
5,2017-05-01,158,11,11,5.680609465729703,8274.339999999998,-0.07547462855835521,2141622,8482273,8518,89,14,50,0.009755096922754844,up
6,2017-06-01,218,35,8,5.580882992344823,12271.129999999992,-0.17520110194324226,3359140,13281278,12939,110,30,74,0.0032123901702706113,up
7,2017-07-01,237,18,5,5.657990221033146,13950.080000000002,-0.0980938732549235,3901706,16032899,14478,145,22,66,0.016003256455092908,up
8,2017-08-01,271,69,19,5.599996451222666,15897.900000000007,-0.1560876430653913,3644015,13994547,16598,167,30,72,-0.00220023244292802,down
9,2017-09-01,307,58,14,5.6896971416001785,17994.370000000003,-0.06638695268788139,4028612,16404887,18593,196,30,77,0.018161907201133472,up
10,2017-10-01,297,34,8,5.641830495649262,16524.219999999998,-0.11425359863880616,3763660,16469613,17356,161,32,100,0.021442194213337862,up
11,2017-11-01,255,25,11,5.680137158005792,18811.33,-0.0759469362822726,3892479,15900901,19559,149,27,78,0.0006310470401596219,up
12,2017-12-01,193,23,3,5.634397949809294,17169.70999999999,-0.12168614447876813,3267414,13701878,17973,106,18,69,0.01077842347877758,up
13,2018-01-01,205,21,3,5.637876684462882,19431.550000000014,-0.11820740982517733,3973863,16694925,20120,114,14,77,0.0521960406016703,up
14,2018-02-01,178,9,1,5.5598880322641175,16904.520000000004,-0.19619606202394627,3164590,14027295,17680,99,20,59,-0.036435894400880166,down
15,2018-03-01,169,7,5,5.6831871683331245,15445.619999999994,-0.07289692595494088,2777362,12260644,16151,97,11,60,-0.027382626378008326,down
16,2018-04-01,260,31,13,5.604641539263953,23739.860000000004,-0.15144255502411158,4058972,17313388,24767,163,33,61,0.005544095491336675,up
17,2018-05-01,258,21,5,5.648425616563512,23158.51000000002,-0.10765847772455234,4224499,18252830,24158,152,30,72,0.02357586188192728,up
18,2018-06-01,384,53,15,5.581438649349704,33936.09999999999,-0.17464544493836173,6025057,24207508,35697,207,32,141,-0.00012132048624135359,down
19,2018-07-01,346,61,14,5.608916461253683,30308.910000000007,-0.14716763303437388,5593912,21322186,31593,189,21,129,0.04116160742968213,up
20,2018-08-01,383,29,18,5.590334930245274,35698.869999999995,-0.16574916404279347,6160212,25086652,37480,204,36,126,0.028481126703292524,up
21,2018-09-01,371,95,20,5.673313547512752,27055.980000000025,-0.08277054677530574,5037543,18431083,28307,212,20,120,0.005875130905891056,up
22,2018-10-01,391,54,12,5.7399936556792985,28296.840000000022,-0.016090438608759486,5779649,22489243,29171,249,20,103,-0.07331810795942771,down
23,2018-11-01,336,72,14,5.665164062588873,29375.170000000013,-0.09092003169919217,5746451,20263565,30335,210,17,105,0.015671973880285447,up
24,2018-12-01,304,16,10,5.594518570245966,31565.950000000008,-0.16156552404209687,5676813,25523911,32987,170,17,115,-0.10164841497939442,down
25,2019-01-01,361,70,11,5.522935389089241,31974.170000000002,-0.23314870519882558,7607042,29816247,33766,178,41,129,0.09170117425244884,up
26,2019-02-01,252,48,12,5.585940223934383,20152.31,-0.1701438703536794,5183114,20285071,21073,122,21,95,0.03040717603108147,up
27,2019-03-01,398,113,13,5.51454824964622,27416.739999999972,-0.24153584464184016,6911751,24344856,29108,171,44,153,0.012929623608922532,up
28,2019-04-01,491,141,35,5.5241204477123285,34366.32,-0.23196364657573337,7508486,27501734,36573,222,64,199,0.034121735357783706,up
29,2019-05-01,646,229,35,5.551129572402604,50943.95000000004,-0.20495452188546195,9148636,29676631,53362,344,71,222,-0.0678345624333676,down
30,2019-06-01,484,107,37,5.608469148882223,39967.410000000025,-0.14761494540584505,7000589,27679051,41898,259,41,159,0.06913607301939424,up
31,2019-07-01,689,183,32,5.61007552339112,52245.15999999999,-0.14600857089694524,10712829,40578134,55066,375,81,206,0.0030187591970311533,up
32,2019-08-01,708,252,36,5.607349658002894,51880.62000000001,-0.1487344362851678,9241769,31133597,54494,386,80,231,-0.01807192038811584,down
33,2019-09-01,793,271,37,5.578898550016292,53975.7,-0.17718554427177222,10034699,31776854,56989,386,84,272,0.0232828280986218,up
34,2019-10-01,1025,391,28,5.505659915185101,65483.370000000024,-0.2504241791029627,14464144,41819737,69516,457,136,382,0.01805486463581566,up
35,2019-11-01,830,410,35,5.510411354299409,48811.90999999999,-0.24567273998865377,11164878,26506973,51813,359,108,310,0.0295864615100722,up
36,2019-12-01,1144,679,58,5.476133093024141,66929.09,-0.2799510012639312,14685837,34019829,71472,502,182,437,0.027650787502655327,up
37,2020-01-01,955,559,51,5.494787091793634,54819.669999999925,-0.2612970024944347,14364413,40342214,58547,407,127,383,-0.005901956889407166,down
38,2020-02-01,898,493,56,5.543559412274259,52948.50999999995,-0.21252468201380453,12481166,33480431,55911,436,120,310,-0.08698069285842798,down
39,2020-03-01,964,526,59,5.55607141442615,58565.58999999995,-0.20001267986190285,13672909,42107536,61906,486,137,305,-0.13101992320844785,down
40,2020-04-01,871,480,46,5.517703950873878,51905.01999999996,-0.23838014341418634,14444341,43220400,55152,408,135,288,0.16586732252864156,up
41,2020-05-01,1096,534,48,5.51766526178881,62249.55,-0.23841883249925383,20670132,57893590,66187,496,158,378,0.06107161700249825,up
42,2020-06-01,1156,599,28,5.50103618435006,67915.64999999988,-0.25504790993801024,23335057,63184635,71737,532,169,391,0.020241679033359203,up
43,2020-07-01,836,495,30,5.4937642421709585,51066.83999999999,-0.26231985211710435,14497695,39508905,54562,380,128,293,0.05318881334636043,up
44,2020-08-01,1150,571,37,5.532066457385655,57893.87999999999,-0.22401763690240659,19336941,52452674,61649,506,143,322,0.06448700782636724,up
45,2020-09-01,1377,651,46,5.573994880017121,73217.25000000001,-0.1820892142709473,21758050,58899667,77664,611,156,466,-0.041181016191204865,down
46,2020-10-01,937,378,18,5.553563874964261,52349.00000000001,-0.2025202193237966,21337293,71792133,55419,432,110,308,-0.03423349153826988,down